Date,I10550,E77520,H86102,H76273,F52898,D77182,I88468,I90394,H90401,D45225,H10901,E86444,I81222,H88215,D10661,H89011,E74740,E76392,H89190,I88362,F67774,E53074,I89002,I79906,F78405,E85621,I88281,E64629,E80415,H87318,H89437,D13610,H83835,D79122,I82686,H77466,D80054,E88360,H89828,D90126,I90361,E78987,I33209,H89050,I10890,D15457,D79702,D80928,D82824,H89773,H89598,H65665,D88351,G81893,H86432,E33452,E88332,H75157,G91556,E81472,B82656,B76221,H90373,F15720,H89548,I87445,H85332,I79698,D85645,E50243,H90000,E79879,H47626,H69032,H57007,E52396,G77659,H86111,F82646,H79116,H76721,B61815
Y2012M3,0.093799,-0.085609,0.093704,0.042048,0.003602,0.002426,-0.045455,0.084633,0.002999,-0.072799,0.030617,0.153448,0.06458,0.032933,0.249075,-0.008067,-0.043902,-0.011147,-0.020362,0.108356,-0.0122,-0.077959,0.037904,0.137972,0.046964,0.024795,0.027327,-0.019142,0.107393,0.079304,-0.007699,0.034237,0.042076,0.460645,0.055793,-0.041081,0.075786,0.048667,0.074684,0.116505,0.113156,0.031328,0.042636,-0.042071,0.055674,0.045767,0.276224,0.089431,0.351563,0.005476,-0.016547,-0.018692,-0.147887,0.11451,0.051555,0.033066,-0.089286,-0.004452,0.089443,0.100768,0.081457,-0.023538,0.030345,0.023048,0.188991,0.057886,0.088052,0.059116,0.008718,-0.06015,0.024131,0.112049,0.039702,0.059331,-0.019849,0.080752,0.100937,0.007031,-0.017158,0.080864,-0.120203,0.001331
Y2012M4,-0.077551,-0.013556,-0.014726,0.009474,0.018842,0.015391,0.152381,0.047228,-0.01896,0.01885,0.090967,-0.192825,-0.089536,-0.006586,0.014807,0.057937,0.16562,0.064412,-0.039681,0.03821,0.022791,0.006488,0.020086,0.174093,-0.059698,-0.029391,-0.015517,-0.117877,0.016403,0.062724,0.013547,-0.036322,0.002599,0.078622,0.084907,0.034463,0.100802,-0.045772,-0.040524,-0.121739,0.067886,-0.049194,0.018587,0.028992,-0.053753,-0.091819,-0.109589,-0.059702,-0.213873,0.030813,0.031579,-0.044444,-0.203857,-0.043631,0.018559,-0.030553,0.058824,0.013048,0.05852,0.029107,0.043247,0.008635,0.015141,0.035286,0.125796,0.024901,0.113117,0.027205,-0.010234,-0.015,-0.009946,-0.16011,0.043982,-0.117617,0.042598,-0.116172,0.070245,0.043954,0.192688,-0.056257,0.090248,0.01575
Y2012M5,-0.106195,-0.136569,-0.079257,-0.068474,0.024439,-0.008866,-0.292011,-0.018627,-0.059227,-0.212951,0.017461,-0.222222,-0.015785,-0.060094,-0.274319,-0.010455,-0.196128,-0.016641,-0.121775,0.03382,-0.069577,-0.09589,-0.019379,-0.059576,-0.0809,-0.129378,-0.060512,-0.10177,-0.088586,-0.09837,0.026466,-0.075859,-0.095678,-0.029484,-0.146361,0.034114,-0.060354,-0.165223,-0.004969,-0.089109,-0.23419,-0.11309,-0.335766,0.018213,-0.158092,-0.19622,-0.061538,-0.144689,-0.25,-0.013417,-0.027679,-0.036545,-0.024222,-0.016188,-0.084244,-0.116844,-0.046296,0.021654,0.02813,-0.101589,-0.066287,-0.229178,-0.057531,0.021586,-0.06082,-0.077994,-0.046216,-0.071233,-0.104627,-0.172589,-0.063175,-0.165982,-0.06597,-0.226852,-0.107837,-0.018702,0.026424,-0.010674,-0.100801,-0.066302,0.021614,-0.147402
Y2012M6,0.00495,0.137279,0.087606,0.094216,0.080519,0.135143,0.241245,0.097902,0.082174,-0.115656,0.099113,0.095238,0.00594,0.042012,-0.072386,0.028077,-0.057592,0.062308,0.047842,-0.056286,0.034417,0.038883,0.071429,0.065228,0.066562,-0.001729,-0.018574,0.097537,0.166355,-0.01808,0.041069,0.089723,0.024355,0.220253,0.148604,0.005467,0.089701,-0.094972,0.04432,-0.304348,-0.02043,0.066409,-0.082418,0.051272,0.24443,0.106583,-0.180328,0.177016,0.039216,0.015189,0.028189,-0.086207,0.156028,-0.072665,-0.011587,0.076651,-0.019417,0.01167,-0.009805,0.122462,-0.093823,0.106201,0.071075,0.034809,0.039157,0.034743,0.028571,0.05826,-0.026815,0.06875,0.044762,0.083744,-0.025659,0.092066,0.074324,-0.015485,-0.144637,0.080919,0.11869,0.00912,0.102858,0.004262
Y2012M7,-0.137389,-0.04133,-0.079634,0.032396,0.027244,-0.033155,-0.106583,-0.089172,0.04198,-0.108887,-0.060074,0.043478,0.05488,0.012431,-0.017341,0.046895,-0.061111,-0.021723,0.013752,-0.102634,0.084726,-0.004087,-0.037037,0.100881,0.08285,-0.006737,0.038767,0.050269,-0.069363,0.126984,0.026559,-0.031115,0.013523,-0.19018,-0.134143,0.068783,0.427846,-0.001773,-0.037508,0.084375,-0.239297,0.009069,-0.101796,0.027377,-0.006138,0.065156,0.3,0.001819,-0.037736,0.034917,0.034826,0.022641,0.042945,0.044073,-0.034737,0.013143,0.029703,0.046702,0.063551,0.118242,-0.03503,-0.033466,0.039963,-0.000433,0.11194,0.010543,-0.0325,0.031127,0.048465,-0.080702,-0.004252,-0.105455,-0.058081,-0.060315,-0.091894,0.043983,-0.013754,0.03433,0.114844,-0.00974,-0.058367,0.030771
Y2012M8,0.125007,-0.039918,0.067131,0.003303,-0.018526,-0.034818,0.080702,0.041958,0.038485,0.132974,0.170249,0.139583,-0.007874,0.024774,-0.148676,0.017556,0.031953,0.054774,-0.010471,-0.014013,-0.008361,0.018575,0.058846,-0.19928,0.030094,0.066602,0.067294,-0.047863,0.227338,-0.04,-0.00113,0.068676,0.041995,0.169086,0.068932,-0.030676,-0.007473,-0.097691,0.032684,0.09366,0.218182,0.051558,0.253333,-0.024278,0.087494,-0.069149,-0.061538,0.006053,0.098039,0.031835,0.030783,-0.02583,-0.047059,0.0086,0.037713,0.005405,-0.039711,0.008069,0.043498,-0.012696,0.095285,-0.035789,-0.0456,-0.051754,0.020134,0.035474,0.034884,0.112638,0.036787,0.110051,0.029892,0.137195,0.006128,0.098097,0.075798,0,0.102051,-0.026414,-0.005923,0.007213,-0.050715,0.007892
Y2012M9,-0.126904,0.128059,-0.024976,0.05679,-0.0096,0.056379,0.373377,0.05465,0.017371,-0.028549,0.043006,0.06947,-0.002268,0.023389,0.019174,0.022272,-0.034404,0.047719,0.02405,0.078164,0.019513,0.028705,0.031239,-0.097951,0.010282,0.034099,0.090308,0.096948,0.086987,-0.018779,0.007202,0.013999,0.017831,-0.081446,-0.014947,0.031677,-0.062388,-0.093012,0.10773,0.097497,0.06136,-0.057842,0.085106,0.063509,-0.014671,0.1,0.124754,0.100481,-0.080357,0.024785,0.00515,0.026477,0.404321,-0.022763,0.016983,-0.019355,0.001302,0.025356,-0.066484,-0.05443,-0.005811,0.066849,-0.052745,0.050811,0.019737,-0.017362,-0.00028,-0.066815,0.024707,-0.004585,0.028024,0.106345,0.026034,0.116,0.074392,0.009362,-0.062081,0.01733,0.008549,0.082031,0.02169,0.054721
Y2012M10,0.174419,-0.041491,0.123248,0.029595,0.025444,-0.01074,0.096927,-0.101818,0.017503,0.025049,0.005518,0.230769,-0.048516,-0.020222,0.016949,0.001894,0.024941,-0.03148,-0.006106,-0.038119,-0.005934,0.008061,0.007749,-0.115789,0.087129,-0.008024,-0.057576,-0.123568,0.14505,0.247608,0.010968,-0.045559,-0.014608,-0.063221,-0.192722,0.022076,-0.024092,-0.138176,-0.059444,-0.183794,0.049777,-0.042743,-0.019608,-0.004842,-0.181076,-0.13665,0.034835,-0.096227,-0.116505,0.015093,-0.007302,-0.099598,0.404396,0.004016,-0.017832,-0.02545,0,-0.008084,-0.056355,0.024218,-0.144386,0.068862,-0.120544,0.026921,0.148738,0.010096,-0.007834,0.006943,0.118927,-0.09384,-0.006954,-0.216882,0.096269,0.041219,-0.003329,0,-0.084444,0.05463,0.044182,0.016334,-0.049609,0.024809
Y2012M11,-0.014851,0.014063,-0.070568,-0.000756,0.0128,-0.098608,-0.051724,0.044534,0.017202,-0.037231,-0.083232,-0.270833,0.042591,0.008694,-0.128333,0.012234,-0.05562,-0.040802,-0.015832,-0.187778,0.016803,-0.025836,-0.003915,0.102757,0.005692,0.104623,0.028135,-0.016807,0.00472,-0.066155,0.038722,0.009161,0.021392,0.05348,-0.010036,0.012573,0.242947,0.072877,-0.006497,-0.055596,0.124176,-0.018143,0.38,0.024486,0.01349,-0.133994,-0.112676,0.020569,-0.186813,-0.004418,-0.022203,-0.056762,0.120501,-0.0952,-0.017439,0.056493,-0.0342,0.027199,-0.06356,0.092191,-0.004631,-0.003601,0.050627,-0.030691,-0.030058,-0.016086,-0.027637,0.031674,0.056785,-0.066074,0.010084,0.25116,-0.034037,-0.029344,-0.068136,0.10825,0.018031,-0.004782,-0.064207,-0.054762,-0.013637,0.03147
Y2012M12,0.030101,0.064355,0.019144,0.093111,-0.004699,0.005121,-0.052273,0.037791,0.01071,0.042359,-0.000999,-0.048571,-0.005466,0.009528,-0.114723,-0.047601,0.055215,0.002163,0.064439,-0.030324,0.038563,0.057843,0.015931,-0.05625,0.039626,0.033193,-0.023456,0.046534,0.10109,0.025154,-0.038182,0.041486,0.015046,-0.348106,0.072924,-0.03303,-0.168033,-0.135192,0.028537,0.027877,-0.115756,0.071335,-0.021739,-0.063553,0.001157,0.138308,-0.047778,-0.0492,0.202703,0.003013,-0.017025,0.016728,-0.065642,-0.005381,0.02638,0.075612,-0.078484,-0.050544,-0.049863,0.029087,0.059411,0.166466,0.063217,0.001044,0.060787,0.032857,-0.015506,-0.038847,-0.004003,0.083333,0.033333,0.112943,-0.007793,0.133373,0.006452,0.110876,-0.047854,0.034432,-0.028654,0.060453,0.068653,0.040818
